SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.95641345, 0.30988324, 0.08363652, -0.68608057, -1.09443176, 0.85728216, 56.67933273, 5.75855017, -62.61326981, -107.78494263, 72.10665894, 147.02087402, -0.32069942, 0.51795971, 0.52786463, -0.59180111, -0.00478345, -0.01732028, 0.01021015, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, 0.95423561, 0.30525285, 0.08002637, -0.82901019, -1.23095429, 0.64607787, 56.50394440, 5.58316278, -62.35018921, -107.77947998, 72.10915375, 147.02879333, -0.32073131, 0.51794547, 0.52785945, -0.59180093, -0.00259227, -0.01272011, 0.01377985, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, 0.95292205, 0.30165270, 0.08205131, -0.89973837, -1.37010074, 0.64442223, 56.50394440, 5.58316278, -62.35018921, -107.77313232, 72.11174011, 147.03781128, -0.32076555, 0.51792890, 0.52785420, -0.59180152, -0.00126481, -0.00915030, 0.01170947, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, 0.94967461, 0.29753625, 0.08517207, -1.04328847, -1.37364066, 0.78472358, 56.50394440, 5.58316278, -62.35018921, -107.76747131, 72.11462402, 147.04650879, -0.32080331, 0.51791292, 0.52784920, -0.59179956, 0.00199807, -0.00507084, 0.00854498, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, 0.94715267, 0.29512659, 0.08953945, -1.04311943, -1.31209278, 1.27513826, 56.50394440, 5.58316278, -62.35018921, -107.76342773, 72.11868286, 147.05349731, -0.32084665, 0.51790339, 0.52783906, -0.59179342, 0.00454175, -0.00271839, 0.00413650, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, 0.94680154, 0.29325691, 0.09122232, -1.11677492, -1.04130661, 1.62875128, 56.50394440, 5.58316278, -62.35018921, -107.76239014, 72.12335205, 147.05752563, -0.32089227, 0.51790088, 0.52782780, -0.59178090, 0.00491792, -0.00092086, 0.00242469, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, 0.94995570, 0.29326117, 0.09194911, -1.11609161, -1.11164272, 1.69773543, 56.59164047, 6.08009338, -62.20403290, -107.76099396, 72.12823486, 147.06193542, -0.32093960, 0.51789826, 0.52781528, -0.59176874, 0.00178993, -0.00100014, 0.00166600, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, 0.95019519, 0.29351681, 0.09134154, -1.26331472, -0.69756013, 1.70383155, 56.59164047, 6.08009338, -62.20403290, -107.76303864, 72.13282013, 147.06309509, -0.32098392, 0.51790005, 0.52780747, -0.59175014, 0.00157499, -0.00133172, 0.00226076, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, 0.94994247, 0.29319385, 0.08803778, -1.40791178, -0.56372356, 1.91593933, 56.59164047, 6.08009338, -62.20403290, -107.76692200, 72.13783264, 147.06271362, -0.32103106, 0.51790500, 0.52780008, -0.59172690, 0.00185454, -0.00109407, 0.00555901, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, 0.95019406, 0.29012915, 0.08750156, -1.40791178, -0.56372356, 1.91593933, 56.59164047, 6.08009338, -62.20403290, -107.77082825, 72.14279938, 147.06231689, -0.32107818, 0.51790988, 0.52779263, -0.59170359, 0.00162953, 0.00188529, 0.00608981, 0.00000000, 0.00000000, 0.00000000, 0.00000000
