SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.68439394, 0.65398514, -0.29827097, 0.39332792, -1.71693230, -0.07101162, 56.79625702, 27.30195808, -61.88248825, -66.12150574, 44.04951859, 145.89532471, 0.03224840, 0.44877267, 0.39131925, -0.80276555, 0.01088560, 0.00323433, 0.00732625, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, 0.68235189, 0.65026563, -0.29673520, 0.17731950, -1.65190625, 0.07045636, 56.79625702, 27.30195808, -61.88248825, -66.08774567, 44.03090668, 145.91802979, 0.03231497, 0.44857469, 0.39124033, -0.80291194, 0.01269418, 0.00698870, 0.00531167, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, 0.68030018, 0.65021956, -0.29416555, 0.10612112, -1.72291362, 0.13966632, 56.73779678, 27.53580856, -62.02864456, -66.08353424, 44.02947235, 145.92370605, 0.03229886, 0.44854560, 0.39123833, -0.80292982, 0.01472795, 0.00702924, 0.00268662, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, 0.67486459, 0.65023714, -0.28853306, 0.24947676, -1.59078526, 0.63056999, 56.73779678, 27.53580856, -62.02864456, -66.07878113, 44.02930450, 145.92965698, 0.03227667, 0.44852296, 0.39122891, -0.80294794, 0.02016139, 0.00698936, -0.00300115, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, 0.67402196, 0.65154177, -0.28545642, 0.60570037, -1.11155307, 1.19542480, 56.73779678, 27.53580856, -62.02864456, -66.07364655, 44.03090668, 145.93487549, 0.03225217, 0.44851327, 0.39120740, -0.80296481, 0.02102417, 0.00564081, -0.00612885, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, 0.67523283, 0.65203732, -0.28532913, 1.03438246, -0.70088726, 1.75911295, 56.73779678, 27.53580856, -62.02864456, -66.06777954, 44.03421783, 145.93957520, 0.03222549, 0.44851530, 0.39117256, -0.80298173, 0.01985485, 0.00507867, -0.00630707, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, 0.67995083, 0.65379405, -0.28628948, 1.24763262, -0.29443276, 2.46332836, 56.73779678, 27.53580856, -62.02864456, -66.06159973, 44.03954697, 145.94398499, 0.03219203, 0.44853029, 0.39112681, -0.80299699, 0.01520372, 0.00323141, -0.00539139, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, 0.68491513, 0.65517265, -0.28652292, 1.31481302, 0.38762915, 3.17175865, 56.62086868, 28.14966393, -62.02864456, -66.05606079, 44.04718781, 145.94723511, 0.03215264, 0.44856322, 0.39107245, -0.80300665, 0.01033527, 0.00173986, -0.00518388, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, 0.68950671, 0.65828252, -0.28758448, 1.24162769, 0.59027630, 3.45450616, 56.62086868, 28.14966393, -62.02864456, -66.05086517, 44.05568314, 145.95022583, 0.03210931, 0.44860217, 0.39101648, -0.80301386, 0.00585026, -0.00149059, -0.00413999, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, 0.69423097, 0.66074020, -0.28596798, 1.16923189, 0.72148883, 3.87616253, 56.62086868, 28.14966393, -62.02864456, -66.04573822, 44.06528091, 145.95339966, 0.03205900, 0.44864708, 0.39095756, -0.80301946, 0.00124633, -0.00408077, -0.00576806, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 10, 0.70028269, 0.66431892, -0.28494799, 1.16886818, 0.78852946, 4.01695299, 56.62086868, 28.14966393, -62.02864456, -66.04061890, 44.07525253, 145.95655823, 0.03200679, 0.44869438, 0.39089721, -0.80302453, -0.00468034, -0.00779635, -0.00679752, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0275, 11, 0.70124513, 0.66641295, -0.28491792, 1.24143314, 0.71886474, 4.08571100, 56.62086868, 28.14966393, -62.02864456, -66.03508759, 44.08531952, 145.96005249, 0.03195349, 0.44874096, 0.39083496, -0.80303091, -0.00551653, -0.01003021, -0.00684130, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 12, 0.70290935, 0.67127854, -0.28936815, 1.38545322, 0.65426564, 3.87454438, 55.94855118, 28.03273773, -62.81789017, -66.02926636, 44.09483719, 145.96343994, 0.03190476, 0.44878453, 0.39077231, -0.80303901, -0.00706142, -0.01503104, -0.00241086, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0325, 13, 0.70506805, 0.67538124, -0.29187590, 1.24147713, 0.65511984, 3.73514605, 55.94855118, 28.03273773, -62.81789017, -66.02393341, 44.10403061, 145.96664429, 0.03185706, 0.44882697, 0.39071354, -0.80304581, -0.00910491, -0.01926303, 0.00008124, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 14, 0.70979679, 0.67454988, -0.29238713, 1.24325109, 0.38366213, 3.38175917, 55.94855118, 28.03273773, -62.81789017, -66.01834106, 44.11214828, 145.97021484, 0.03181326, 0.44886160, 0.39065832, -0.80305487, -0.01373190, -0.01855010, 0.00056848, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0375, 15, 0.71273243, 0.66803527, -0.29151529, 1.17271721, 0.11592709, 2.74889827, 55.94855118, 28.03273773, -62.81789017, -66.01296234, 44.11854935, 145.97373962, 0.03177757, 0.44888631, 0.39061084, -0.80306578, -0.01658744, -0.01213396, -0.00033334, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 16, 0.71418923, 0.66645813, -0.29251999, 1.53285241, -0.01479666, 2.46618795, 55.94855118, 28.03273773, -62.81789017, -66.00666046, 44.12415695, 145.97726440, 0.03174924, 0.44890592, 0.39055979, -0.80308056, -0.01797378, -0.01065117, 0.00062698, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0425, 17, 0.71101773, 0.67100674, -0.29354364, 1.89456713, -0.28838965, 2.46129584, 56.24086380, 28.29582024, -62.64250183, -65.99886322, 44.12949371, 145.98168945, 0.03172222, 0.44892058, 0.39050275, -0.80310136, -0.01473564, -0.01529878, 0.00158769, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0850, 18, 0.69106281, 0.66709250, -0.28415349, -1.34653485, -0.50547671, -3.26614118, 56.41625214, 27.38965225, -62.14557266, -65.92929840, 44.06181717, 146.03346252, 0.03197074, 0.44832090, 0.39046746, -0.80344343, 0.00437111, -0.01098913, -0.00893355, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0875, 19, 0.69008803, 0.66577590, -0.28698218, -1.84797597, -0.71788955, -3.26738262, 56.41625214, 27.38965225, -62.14557266, -65.93555450, 44.05363464, 146.03112793, 0.03200382, 0.44828182, 0.39053237, -0.80343252, 0.00524318, -0.00954974, -0.00607371, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 20, 0.69338590, 0.66035879, -0.28536108, -2.56946230, -0.38061348, -3.12057090, 56.41625214, 27.38965225, -62.14557266, -65.94421387, 44.04612732, 146.02790833, 0.03203014, 0.44825029, 0.39060813, -0.80341208, 0.00185108, -0.00400513, -0.00763282, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0925, 21, 0.69668645, 0.65493125, -0.28300700, -2.78594017, -0.24744821, -2.90823746, 56.24086380, 27.82811928, -62.52557755, -65.95349884, 44.03921890, 146.02458191, 0.03205177, 0.44822314, 0.39068565, -0.80338883, -0.00153595, 0.00154626, -0.00991461, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0950, 22, 0.69705999, 0.65356010, -0.28156239, -2.49856472, -0.17991890, -2.62850070, 56.24086380, 27.82811928, -62.52557755, -65.96193695, 44.03304291, 146.02142334, 0.03207187, 0.44819933, 0.39075527, -0.80336744, -0.00198710, 0.00302911, -0.01129309, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0975, 23, 0.69913614, 0.65205306, -0.27865699, -1.70592415, -0.38244268, -2.49395752, 56.24086380, 27.82811928, -62.52557755, -65.96781158, 44.02695847, 146.01910400, 0.03209564, 0.44817257, 0.39080980, -0.80335486, -0.00413954, 0.00463355, -0.01416114, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 24, 0.70060456, 0.64885378, -0.27797577, -0.98804843, -0.23944999, -2.35448456, 56.24086380, 27.82811928, -62.52557755, -65.97206879, 44.02133942, 146.01652527, 0.03212520, 0.44814897, 0.39085031, -0.80334711, -0.00567854, 0.00791687, -0.01482138, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1025, 25, 0.70009327, 0.65477377, -0.27947265, -0.19624145, -0.30679417, -2.00828528, 56.24086380, 27.82811928, -62.52557755, -66.00644684, 44.03469467, 145.99572754, 0.03206958, 0.44830930, 0.39096060, -0.80320615, -0.00499964, 0.00202429, -0.01286450, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1050, 26, 0.70018744, 0.65851897, -0.28344804, 0.52253062, -0.23633464, -1.65997910, 56.24086380, 27.82811928, -62.52557755, -66.00624847, 44.03066635, 145.99412537, 0.03210176, 0.44829065, 0.39096785, -0.80321175, -0.00514436, -0.00167722, -0.00891122, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1075, 27, 0.70223409, 0.65701067, -0.28909642, 1.09963322, -0.44197127, -1.45483363, 56.47471619, 28.12043190, -62.43788147, -66.00395203, 44.02689743, 145.99346924, 0.03213424, 0.44826972, 0.39096311, -0.80322444, -0.00723827, -0.00013882, -0.00330779, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 28, 0.70610803, 0.65523201, -0.29243091, 1.31732750, -0.65096509, -1.24855888, 56.47471619, 28.12043190, -62.43788147, -66.00044250, 44.02338791, 145.99377441, 0.03216345, 0.44824675, 0.39095268, -0.80324119, -0.01115626, 0.00166094, -0.00003091, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1125, 29, 0.70949054, 0.65456766, -0.29648051, 1.31948364, -0.86307192, -0.97168165, 56.47471619, 28.12043190, -62.43788147, -65.99620056, 44.02028656, 145.99513245, 0.03218602, 0.44822243, 0.39093965, -0.80326021, -0.01457769, 0.00233781, 0.00395483, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1150, 30, 0.71081054, 0.65874755, -0.29605263, 1.17903006, -1.21499670, -0.69623435, 56.47471619, 28.12043190, -62.43788147, -65.99125671, 44.01746750, 145.99800110, 0.03219939, 0.44819438, 0.39092666, -0.80328166, -0.01593310, -0.00183594, 0.00345629, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1175, 31, 0.71466941, 0.66647953, -0.29386479, 1.25227797, -1.35499728, -0.55849195, 56.47471619, 28.12043190, -62.43788147, -65.98567963, 44.01480865, 146.00152588, 0.03220986, 0.44816497, 0.39091113, -0.80330521, -0.01982534, -0.00956702, 0.00119144, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 32, 0.71597499, 0.67544252, -0.29263049, 1.61132252, -1.28459954, -0.41883078, 55.86085892, 27.85735130, -62.35018921, -65.97922516, 44.01255035, 146.00502014, 0.03222200, 0.44813776, 0.39088789, -0.80333120, -0.02115929, -0.01853794, -0.00012800, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1225, 33, 0.71838588, 0.67950636, -0.29232883, 1.75465941, -1.27886260, -0.69898188, 55.86085892, 27.85735130, -62.35018921, -65.97270966, 44.00965118, 146.00808716, 0.03224050, 0.44810817, 0.39086485, -0.80335820, -0.02360654, -0.02260298, -0.00051871, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1250, 34, 0.71900398, 0.67861235, -0.28977761, 1.89930046, -1.47644424, -1.26165462, 55.86085892, 27.85735130, -62.35018921, -65.96594238, 44.00526810, 146.01098633, 0.03226858, 0.44807020, 0.39084494, -0.80338794, -0.02427966, -0.02169502, -0.00316915, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1275, 35, 0.71721727, 0.67181259, -0.28767851, 1.97216618, -1.67579567, -1.75417662, 55.86085892, 27.85735130, -62.35018921, -65.95904541, 43.99955750, 146.01382446, 0.03230432, 0.44802445, 0.39082870, -0.80341989, -0.02256465, -0.01486725, -0.00537556, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 36, 0.71240574, 0.66352201, -0.28547385, 2.11665654, -1.80853379, -2.03620887, 55.86085892, 27.85735130, -62.35018921, -65.95176697, 43.99305725, 146.01667786, 0.03234528, 0.44797388, 0.39081278, -0.80345416, -0.01783472, -0.00654203, -0.00769567, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1325, 37, 0.70734143, 0.65660489, -0.28483617, 2.11445642, -1.53268218, -1.96252131, 56.09470749, 28.03273773, -62.52557755, -65.94503784, 43.98702240, 146.01876831, 0.03238727, 0.44792882, 0.39079598, -0.80348581, -0.01284624, 0.00040752, -0.00844047, 0.00000000, 0.00000000, 0.00000000, 0.00000000
