SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.61273593, 0.79037404, -0.12642621, -0.14176409, 1.47438776, -1.01006722, 54.66238022, 37.73750305, -59.54399109, -82.02014160, 36.41877747, 148.24168396, -0.00110405, 0.39735466, 0.53502607, -0.74555695, -0.01905346, 0.00653350, 0.01471341, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, 0.60400742, 0.79021573, -0.12677735, 0.50397301, 1.68265104, -0.65965319, 54.66238022, 37.73750305, -59.54399109, -82.02213287, 36.41773224, 148.23622131, -0.00106931, 0.39737433, 0.53502363, -0.74554825, -0.01033968, 0.00670624, 0.01509073, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, 0.60242599, 0.79144269, -0.12712193, 1.14981663, 1.88981545, -0.23931456, 54.39929962, 37.94212341, -59.10552216, -82.02277374, 36.41778946, 148.23030090, -0.00103339, 0.39740235, 0.53500712, -0.74554533, -0.00875741, 0.00547993, 0.01544430, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, 0.60242599, 0.79144269, -0.12712193, 1.14981663, 1.88981545, -0.23931456, 54.39929962, 37.94212341, -59.10552216, -82.02340698, 36.41785431, 148.22439575, -0.00099747, 0.39743030, 0.53499055, -0.74554235, -0.00875652, 0.00548053, 0.01545328, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, 0.60997289, 0.78601927, -0.12367667, 2.66688943, 1.06647420, 0.16420279, 54.39929962, 37.94212341, -59.10552216, -82.01864624, 36.41862869, 148.22117615, -0.00096457, 0.39744961, 0.53494573, -0.74556422, -0.01629251, 0.01088667, 0.01194289, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, 0.60997289, 0.78601927, -0.12367667, 2.66688943, 1.06647420, 0.16420279, 54.39929962, 37.94212341, -59.10552216, -82.01387787, 36.41940308, 148.21797180, -0.00093167, 0.39746892, 0.53490090, -0.74558610, -0.01628160, 0.01086944, 0.01187772, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, 0.60918754, 0.77824724, -0.11340727, 4.68284035, 0.79843807, 0.78343970, 54.39929962, 37.94212341, -59.10552216, -82.00343323, 36.42163086, 148.21585083, -0.00089449, 0.39749116, 0.53481793, -0.74563378, -0.01546502, 0.01859844, 0.00146619, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, 0.60084081, 0.77668470, -0.10999257, 6.04828930, 0.94088274, 1.34042895, 54.01929092, 38.11750793, -59.39783478, -81.98967743, 36.42527390, 148.21353149, -0.00085287, 0.39752224, 0.53470790, -0.74569619, -0.00706708, 0.02009654, -0.00213451, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, 0.59309226, 0.77782202, -0.10604896, 7.19290400, 1.70445108, 1.90656233, 54.01929092, 38.11750793, -59.39783478, -81.97431946, 36.43058395, 148.20912170, -0.00080162, 0.39757231, 0.53457439, -0.74576527, 0.00075603, 0.01887459, -0.00628396, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, 0.59003651, 0.78106093, -0.11002564, 8.12245083, 2.39676738, 2.47243261, 54.01929092, 38.11750793, -59.39783478, -81.95775604, 36.43754196, 148.20281982, -0.00074345, 0.39764029, 0.53442085, -0.74583918, 0.00390947, 0.01553166, -0.00252753, 0.00000000, 0.00000000, 0.00000000, 0.00000000
