SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 1.00249791, -0.01726496, -0.03902012, 1.06831276, -0.57436168, 1.47494686, 55.86085892, -6.92779875, -58.60859299, 15.00108147, 87.31688690, -127.87091064, -0.23420890, 0.65633643, 0.21590266, -0.68392599, -0.00359422, 0.00514817, -0.00619695, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, 1.00432503, -0.02189580, -0.04129431, 1.21369934, -0.77963287, 1.40174818, 55.86085892, -6.92779875, -58.60859299, 15.06553745, 87.31419373, -127.80942535, -0.23421611, 0.65633762, 0.21586050, -0.68393570, -0.00542355, 0.00971550, -0.00395610, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, 1.00736165, -0.02578354, -0.04355961, 1.28511083, -0.71082246, 1.47238779, 55.86085892, -6.92779875, -58.60859299, 15.13457775, 87.31156921, -127.74351501, -0.23422302, 0.65634048, 0.21581660, -0.68394440, -0.00846231, 0.01353654, -0.00172113, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, 1.00894535, -0.02956383, -0.04520929, 1.28699124, -0.98337859, 1.18892550, 55.86085892, -6.92779875, -58.60859299, 15.18519783, 87.30829620, -127.69608307, -0.23422697, 0.65633798, 0.21577534, -0.68395847, -0.01004869, 0.01726244, -0.00011362, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, 1.01112819, -0.03089004, -0.04633384, 1.21421349, -0.91151702, 0.98031759, 56.24086380, -5.72931862, -58.02396774, 15.22574043, 87.30538940, -127.65852356, -0.23422851, 0.65633518, 0.21573852, -0.68397224, -0.01223391, 0.01854356, 0.00097179, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, 1.01331043, -0.03039691, -0.04571977, 0.99666935, -0.76736647, 0.49340266, 56.24086380, -5.72931862, -58.02396774, 15.24275875, 87.30320740, -127.64397430, -0.23422520, 0.65633112, 0.21571267, -0.68398541, -0.01441795, 0.01802698, 0.00032476, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, 1.01355946, -0.03381468, -0.04736117, 0.92241859, -0.55373418, 0.07690167, 56.24086380, -5.72931862, -58.02396774, 15.24128532, 87.30182648, -127.64775848, -0.23421578, 0.65632796, 0.21569499, -0.68399733, -0.01466811, 0.02143957, 0.00194254, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, 1.01416302, -0.03343792, -0.04772323, 0.77423644, -0.12976503, -0.54632568, 56.24086380, -5.72931862, -58.02396774, 15.21350574, 87.30190277, -127.67750549, -0.23419715, 0.65632743, 0.21569060, -0.68400562, -0.01527161, 0.02108504, 0.00229938, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, 1.01306701, -0.03390685, -0.04968332, 0.62684411, 0.22276951, -1.03064430, 56.24086380, -5.72931862, -58.02396774, 15.16544628, 87.30313110, -127.72716522, -0.23417173, 0.65632910, 0.21569711, -0.68401057, -0.01417458, 0.02159763, 0.00426961, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, 1.01171339, -0.03177148, -0.05331378, 0.55374658, 0.29792669, -1.44902670, 57.20549393, -5.17392588, -57.67319489, 15.09676170, 87.30480957, -127.79732513, -0.23414078, 0.65632957, 0.21571112, -0.68401629, -0.01281959, 0.01952428, 0.00791341, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 10, 1.00975835, -0.02893101, -0.05485486, 0.55332041, 0.30232078, -1.72872615, 57.20549393, -5.17392588, -57.67319489, 15.01368141, 87.30662537, -127.88191986, -0.23410565, 0.65632880, 0.21572916, -0.68402338, -0.01086307, 0.01675802, 0.00946796, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0275, 11, 1.00756228, -0.02682392, -0.05677327, 0.69608080, 0.37729532, -2.00793648, 57.20549393, -5.17392588, -57.67319489, 14.91741657, 87.30879974, -127.97996521, -0.23406397, 0.65632856, 0.21574949, -0.68403155, -0.00866521, 0.01473711, 0.01140320, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 12, 1.00597942, -0.02328945, -0.05512735, 0.84193760, 0.10388505, -2.15200090, 57.20549393, -5.17392588, -57.67319489, 15.07050037, 87.29299927, -127.82637787, -0.23415758, 0.65626830, 0.21566056, -0.68408531, -0.00709534, 0.01100949, 0.00952244, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0325, 13, 1.00390494, -0.01985062, -0.05555924, 0.76858300, 0.24498428, -2.35966778, 57.20549393, -5.17392588, -57.67319489, 14.95523548, 87.29515839, -127.94371033, -0.23411022, 0.65626478, 0.21568412, -0.68409747, -0.00501907, 0.00767196, 0.00996539, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 14, 1.00365365, -0.01436422, -0.05241980, 0.91454637, -0.02952454, -2.43380785, 55.86085892, -4.91084480, -57.93627548, 14.83263874, 87.29653931, -128.06875610, -0.23406093, 0.65625757, 0.21570516, -0.68411463, -0.00476664, 0.00228981, 0.00682516, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0375, 15, 0.99987859, -0.00958650, -0.05246113, 0.98459142, 0.17995812, -2.50113583, 55.86085892, -4.91084480, -57.93627548, 14.70940781, 87.29856873, -128.19456482, -0.23400865, 0.65625352, 0.21572720, -0.68412948, -0.00098991, -0.00238083, 0.00687486, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 16, 0.99516040, -0.00855619, -0.04864757, 0.90935642, 0.59361351, -2.42534113, 55.86085892, -4.91084480, -57.93627548, 14.59525394, 87.30154419, -128.31109619, -0.23395665, 0.65625560, 0.21575138, -0.68413764, 0.00373072, -0.00330725, 0.00308764, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0425, 17, 0.99261260, -0.00577238, -0.04640018, 0.69230115, 0.79601622, -2.21206665, 55.86085892, -4.91084480, -57.93627548, 14.49388981, 87.30494690, -128.41433716, -0.23390998, 0.65626055, 0.21577679, -0.68414080, 0.00628132, -0.00599599, 0.00087522, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 18, 0.99069238, -0.00670780, -0.04176707, 0.90800858, 0.86067706, -1.79225421, 55.86085892, -4.91084480, -57.93627548, 14.41539097, 87.30814362, -128.49516296, -0.23386618, 0.65626961, 0.21579330, -0.68414187, 0.00820416, -0.00498428, -0.00371985, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0475, 19, 0.99141455, -0.00619887, -0.04273834, 1.12454987, 0.79015827, -1.58409810, 56.12393951, -5.52470016, -57.26395798, 14.34695530, 87.31098938, -128.56654358, -0.23382270, 0.65627968, 0.21580324, -0.68414396, 0.00748432, -0.00542636, -0.00271361, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 20, 0.99213487, -0.00422892, -0.04270965, 1.48611391, 0.58140880, -1.30835009, 56.12393951, -5.52470016, -57.26395798, 14.29085541, 87.31324005, -128.62640381, -0.23377916, 0.65628982, 0.21580274, -0.68414932, 0.00676584, -0.00734225, -0.00271615, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0525, 21, 0.99587941, -0.00343052, -0.04576003, 1.56098545, 0.23479399, -1.24335492, 56.12393951, -5.52470016, -57.26395798, 14.23369980, 87.31455231, -128.68753052, -0.23373713, 0.65629542, 0.21579841, -0.68415958, 0.00302237, -0.00808959, 0.00034529, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0550, 22, 0.99938947, -0.00254508, -0.04636465, 1.41790545, 0.16311498, -1.17391908, 56.12393951, -5.52470016, -57.26395798, 14.17865467, 87.31564331, -128.74613953, -0.23369856, 0.65629959, 0.21579492, -0.68416995, -0.00048679, -0.00892664, 0.00095772, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0575, 23, 1.00024152, -0.00400910, -0.04687760, 1.12969589, 0.23076525, -1.24199975, 56.12393951, -5.52470016, -57.26395798, 14.12034893, 87.31696320, -128.80738831, -0.23366274, 0.65630293, 0.21579698, -0.68417823, -0.00133777, -0.00741079, 0.00148133, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 24, 1.00134587, -0.00660250, -0.04569759, 0.62652445, 0.22606507, -1.24041891, 56.35778809, -6.46009922, -57.70242691, 14.06072712, 87.31835175, -128.86860657, -0.23363419, 0.65630370, 0.21580653, -0.68418425, -0.00244099, -0.00476461, 0.00031156, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0625, 25, 1.00257194, -0.01101467, -0.04625644, 0.26575011, 0.36337993, -1.37725782, 56.35778809, -6.46009922, -57.70242691, 13.99479103, 87.32003021, -128.93534851, -0.23360811, 0.65630400, 0.21582414, -0.68418729, -0.00366569, -0.00029296, 0.00088644, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0650, 26, 1.00537026, -0.01298213, -0.04531471, 0.04884543, 0.50093925, -1.44462359, 56.35778809, -6.46009922, -57.70242691, 13.92639828, 87.32207489, -129.00384521, -0.23358350, 0.65630490, 0.21584664, -0.68418771, -0.00646234, 0.00173742, -0.00003348, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0675, 27, 1.00586343, -0.01567869, -0.04572359, -0.16737603, 0.56816238, -1.44300532, 56.35778809, -6.46009922, -57.70242691, 13.85837746, 87.32434082, -129.07160950, -0.23356168, 0.65630573, 0.21587270, -0.68418616, -0.00695366, 0.00449718, 0.00040005, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 28, 1.00744915, -0.01789241, -0.04514974, -0.31297576, 0.77563065, -1.50965631, 56.35778809, -6.46009922, -57.70242691, 13.78903866, 87.32727051, -129.14019775, -0.23353998, 0.65630859, 0.21590295, -0.68418127, -0.00853699, 0.00677733, -0.00014016, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0725, 29, 1.00746417, -0.02086136, -0.04385106, -0.23910716, 0.50264752, -1.72341967, 55.62701035, -6.48933077, -57.49780655, 13.70518684, 87.32939148, -129.22354126, -0.23351532, 0.65630680, 0.21593377, -0.68418175, -0.00855029, 0.00982186, -0.00141698, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0750, 30, 1.00736678, -0.02483500, -0.04110115, -0.38250676, 0.43426403, -1.86375821, 55.62701035, -6.48933077, -57.49780655, 13.61264706, 87.33159637, -129.31523132, -0.23349094, 0.65630257, 0.21596837, -0.68418324, -0.00845111, 0.01387746, -0.00414820, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0775, 31, 1.00809705, -0.02617667, -0.04161197, -0.23654345, 0.15975523, -1.93789804, 55.62701035, -6.48933077, -57.49780655, 13.51296234, 87.33306122, -129.41439819, -0.23346461, 0.65629458, 0.21600044, -0.68418968, -0.00918019, 0.01530410, -0.00363047, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 32, 1.00881279, -0.02430878, -0.04305121, -0.01906208, -0.04704162, -1.87147272, 55.62701035, -6.48933077, -57.49780655, 14.07396603, 87.33254242, -128.85189819, -0.23361124, 0.65637559, 0.21587150, -0.68410265, -0.00989634, 0.01299189, -0.00209005, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0825, 33, 1.00881279, -0.02430878, -0.04305121, -0.01906208, -0.04704162, -1.87147272, 55.62701035, -6.48933077, -57.49780655, 13.97584915, 87.33364868, -128.95008850, -0.23358381, 0.65636593, 0.21589833, -0.68411279, -0.00989544, 0.01307349, -0.00209217, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0850, 34, 1.00356972, -0.01657584, -0.04389967, 1.20875454, -0.66535604, -1.46422982, 55.89009094, -4.88161373, -57.81935120, 13.89386272, 87.33283997, -129.03520203, -0.23354776, 0.65635520, 0.21589787, -0.68413550, -0.00465304, 0.00540206, -0.00127226, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0875, 35, 1.00356972, -0.01657584, -0.04389967, 1.20875454, -0.66535604, -1.46422982, 55.89009094, -4.88161373, -57.81935120, 13.81197739, 87.33218384, -129.12019348, -0.23351175, 0.65634453, 0.21589744, -0.68415827, -0.00465357, 0.00546354, -0.00130074, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 36, 0.99604303, -0.01462694, -0.04507639, 1.20849741, -0.59941405, -1.25351465, 55.89009094, -4.88161373, -57.81935120, 13.74195480, 87.33152008, -129.19332886, -0.23347855, 0.65633583, 0.21589430, -0.68417895, 0.00287259, 0.00356694, -0.00014961, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0925, 37, 0.99530834, -0.01302555, -0.04553916, 0.99285245, -0.60142839, -1.25283706, 55.89009094, -4.88161373, -57.81935120, 13.67152691, 87.33071136, -129.26628113, -0.23344846, 0.65632600, 0.21589434, -0.68419862, 0.00360662, 0.00201818, 0.00028739, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0950, 38, 0.99626553, -0.00885077, -0.04486622, 0.99270201, -0.53658491, -0.97219694, 55.89009094, -4.88161373, -57.81935120, 13.61659718, 87.32997894, -129.32376099, -0.23342226, 0.65631849, 0.21589072, -0.68421590, 0.00264883, -0.00211619, -0.00040837, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0975, 39, 0.99360090, -0.00935658, -0.04474631, 0.84695178, -0.26427317, -0.75820762, 55.89009094, -6.43086815, -57.90704346, 13.57587433, 87.32975769, -129.36666870, -0.23340006, 0.65631527, 0.21588759, -0.68422753, 0.00531328, -0.00157900, -0.00053937, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 40, 0.99165541, -0.00800839, -0.04508828, 1.13411486, -0.19454680, -0.61832058, 55.89009094, -6.43086815, -57.90704346, 13.54400444, 87.32975769, -129.40138245, -0.23337550, 0.65631521, 0.21587853, -0.68423879, 0.00725877, -0.00290245, -0.00020538, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1025, 41, 0.98984152, -0.01057887, -0.04646809, 1.35133898, -0.33540162, -0.34118026, 55.89009094, -6.43086815, -57.90704346, 13.52540302, 87.32917023, -129.42340088, -0.23335263, 0.65631545, 0.21586153, -0.68425167, 0.00907218, -0.00031978, 0.00116043, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1050, 42, 0.99347973, -0.01141708, -0.04685497, 1.20548224, -0.06199135, -0.19711587, 55.89009094, -6.43086815, -57.90704346, 13.51735973, 87.32902527, -129.43447876, -0.23333277, 0.65631974, 0.21584606, -0.68425930, 0.00543386, 0.00052463, 0.00154511, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1075, 43, 0.99568051, -0.01269507, -0.04272433, 0.99088407, -0.20138231, -0.26824471, 55.89009094, -6.43086815, -57.90704346, 13.50337791, 87.32873535, -129.45092773, -0.23331550, 0.65632051, 0.21583405, -0.68426818, 0.00323284, 0.00181234, -0.00259377, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 44, 0.99787092, -0.01271964, -0.04028524, 0.70130807, 0.00694010, -0.47429356, 55.89009094, -6.43086815, -57.90704346, 13.48059845, 87.32910156, -129.47550964, -0.23329835, 0.65632200, 0.21583040, -0.68427378, 0.00104272, 0.00185613, -0.00503216, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1125, 45, 0.99726963, -0.01298392, -0.03918827, 0.55344558, 0.42761371, -0.88774645, 55.62701035, -5.87547493, -57.79011917, 13.44097900, 87.33063507, -129.51654053, -0.23327516, 0.65632701, 0.21583703, -0.68427479, 0.00164527, 0.00215805, -0.00611026, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1150, 46, 0.99653244, -0.01173563, -0.04075622, 0.55071276, 0.70895797, -1.16368294, 55.62701035, -5.87547493, -57.79011917, 13.39050865, 87.33277130, -129.56848145, -0.23324656, 0.65633494, 0.21584907, -0.68427318, 0.00238419, 0.00095935, -0.00451114, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1175, 47, 0.99543262, -0.01291597, -0.04456016, 0.69127303, 1.05978417, -1.36920536, 55.62701035, -5.87547493, -57.79011917, 13.33379650, 87.33629608, -129.62692261, -0.23321123, 0.65634781, 0.21586375, -0.68426824, 0.00348687, 0.00219804, -0.00066072, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 48, 0.99348670, -0.01314130, -0.04663698, 0.83362585, 1.26554430, -1.15706038, 55.62701035, -5.87547493, -57.79011917, 13.29100037, 87.33996582, -129.67185974, -0.23317607, 0.65636551, 0.21587431, -0.68425995, 0.00543594, 0.00247213, 0.00147164, 0.00000000, 0.00000000, 0.00000000, 0.00000000
