SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.73539990, -0.62577444, 0.00593525, -0.96335858, 3.17866302, 9.24774456, -28.90967560, 10.20169544, -66.96871948, 89.80551910, -49.16294861, -86.37928772, -0.67059445, 0.26636612, -0.65417057, -0.22674450, -0.02117229, -0.02813202, -0.00815519, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, -0.73745525, -0.62253499, 0.01087695, -1.47827625, 4.56091118, 9.12829208, -28.90967560, 10.20169544, -66.96871948, 89.78852081, -49.18573380, -86.36171722, -0.67071331, 0.26623678, -0.65414953, -0.22660555, -0.01937688, -0.03107000, -0.01328975, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, -0.73659205, -0.62574053, 0.01180368, -2.20952177, 6.01148081, 8.94052982, -28.90967560, 10.20169544, -66.96871948, 89.76549530, -49.20801544, -86.33857727, -0.67085612, 0.26610658, -0.65410256, -0.22647133, -0.02049423, -0.02756882, -0.01447803, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, -0.73005050, -0.62666214, 0.00957662, -3.00771618, 6.90418291, 8.95524406, -28.90967560, 10.20169544, -66.96871948, 89.73785400, -49.23033524, -86.31201935, -0.67101634, 0.26596889, -0.65403867, -0.22634311, -0.02729023, -0.02635104, -0.01256473, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, -0.72944140, -0.62776196, 0.00931414, -4.02040195, 7.65639591, 8.96875477, -29.23121834, 10.72785759, -68.13796997, 89.70547485, -49.25265884, -86.28253174, -0.67119312, 0.26581985, -0.65395874, -0.22622472, -0.02815367, -0.02495415, -0.01266974, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, -0.73270911, -0.62755567, 0.01103476, -5.03507423, 8.68226337, 9.19580364, -29.23121834, 10.72785759, -68.13796997, 89.66754913, -49.27553177, -86.24908447, -0.67139155, 0.26565778, -0.65386009, -0.22611155, -0.02514649, -0.02485568, -0.01482073, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, -0.73753560, -0.62766862, 0.01739718, -6.05158424, 9.91694355, 9.35574722, -29.23121834, 10.72785759, -68.13796997, 89.62344360, -49.29875946, -86.21086121, -0.67161417, 0.26548460, -0.65373921, -0.22600336, -0.02058441, -0.02443219, -0.02168326, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, -0.73753399, -0.62646383, 0.01912639, -7.13882113, 11.01247406, 9.51403713, -29.23121834, 10.72785759, -68.13796997, 89.57337952, -49.32236099, -86.16837311, -0.67185944, 0.26529858, -0.65359765, -0.22590196, -0.02085459, -0.02532083, -0.02397999, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, -0.73401982, -0.62874454, 0.01639593, -8.43892765, 11.76090145, 9.59837627, -29.23121834, 10.72785759, -68.13796997, 89.51783752, -49.34611511, -86.12295532, -0.67212331, 0.26509598, -0.65343922, -0.22581354, -0.02463902, -0.02272052, -0.02187876, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, -0.73172337, -0.63161415, 0.01145940, -9.44563293, 11.81854248, 9.74232769, -29.23121834, 10.72785759, -68.13796997, 89.45954132, -49.37021637, -86.07725525, -0.67239434, 0.26487678, -0.65327561, -0.22573693, -0.02720934, -0.01952600, -0.01760198, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 10, -0.73389560, -0.63723648, 0.00844504, -10.23428154, 11.60014820, 9.95176506, -28.79274940, 10.61093235, -68.19643402, 89.39985657, -49.39479828, -86.03233337, -0.67266780, 0.26464194, -0.65311253, -0.22566977, -0.02531642, -0.01357109, -0.01526253, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0275, 11, -0.73643893, -0.63992286, 0.00633176, -10.59106255, 11.31654453, 10.15890598, -28.79274940, 10.61093235, -68.19643402, 89.34004211, -49.41988373, -85.98842621, -0.67294014, 0.26439744, -0.65295291, -0.22560623, -0.02305800, -0.01054484, -0.01382487, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 12, -0.73960191, -0.64243525, 0.00043430, -10.65848064, 10.82681656, 10.43224525, -28.79274940, 10.61093235, -68.19643402, 89.28142548, -49.44564819, -85.94633484, -0.67320710, 0.26414558, -0.65280163, -0.22554243, -0.02018744, -0.00768304, -0.00858860, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0325, 13, -0.74336463, -0.64667302, -0.00536615, -10.36281872, 9.92282200, 10.83866215, -28.79274940, 10.61093235, -68.19643402, 89.22609711, -49.47241211, -85.90763855, -0.67346144, 0.26388779, -0.65266734, -0.22547361, -0.01672835, -0.00308192, -0.00341108, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 14, -0.74784857, -0.65045381, -0.00895857, -9.92119312, 8.74432182, 11.17093754, -28.79274940, 10.61093235, -68.19643402, 89.17526245, -49.50004578, -85.87338257, -0.67369795, 0.26362595, -0.65255433, -0.22540037, -0.01255769, 0.00107330, -0.00038988, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0375, 15, -0.75147444, -0.65717691, -0.01284219, -9.04676056, 7.36433125, 11.35918617, -29.08506203, 11.31248188, -68.13796997, 89.13058472, -49.52816391, -85.84439087, -0.67391062, 0.26336744, -0.65246689, -0.22531983, -0.00925046, 0.00817722, 0.00299306, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 16, -0.75572336, -0.65898824, -0.01652714, -8.03076553, 6.26153660, 11.62067318, -29.08506203, 11.31248188, -68.13796997, 89.09163666, -49.55696487, -85.81958008, -0.67410296, 0.26311475, -0.65240216, -0.22522731, -0.00532770, 0.01037783, 0.00624293, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0425, 17, -0.76130313, -0.66021031, -0.01885618, -6.87028027, 5.02600431, 11.60012627, -29.08506203, 11.31248188, -68.13796997, 89.05917358, -49.58576202, -85.79948425, -0.67427087, 0.26287329, -0.65236104, -0.22512561, -0.00007391, 0.01198835, 0.00821076, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 18, -0.76651073, -0.66134435, -0.01861848, -5.85392141, 3.85616875, 11.72082043, -29.08506203, 11.31248188, -68.13796997, 89.03264618, -49.61489868, -85.78386688, -0.67441684, 0.26263931, -0.65234274, -0.22501436, 0.00480413, 0.01351464, 0.00767942, 0.00000000, 0.00000000, 0.00000000, 0.00000000
